	pointcc
0	8.61731978554866450E-1 / 1.19863310294410550E2


	pointch
0	1.13406796830673470E-1 / -6.77675753151132640E1


	pointco
0	1.05296066214500410E0 / -6.30437115158311730E1


Y	X	pointCor[0][0, ::]
0.00000000000000000E0	2.10000000000000010E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	2.20000000000000020E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	2.29999999999999980E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	2.39999999999999990E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	2.50000000000000000E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	2.60000000000000010E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	2.70000000000000020E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	2.79999999999999980E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	2.89999999999999990E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	3.00000000000000000E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	3.10000000000000010E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	3.20000000000000020E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	3.29999999999999980E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	3.39999999999999990E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	3.50000000000000000E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	3.60000000000000010E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	3.70000000000000020E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	3.79999999999999980E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	3.89999999999999990E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	4.00000000000000000E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	4.09999999999999960E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	4.20000000000000020E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	4.29999999999999980E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	4.40000000000000040E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	4.50000000000000000E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	4.59999999999999960E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	4.70000000000000020E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	4.79999999999999980E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	4.90000000000000040E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	5.00000000000000000E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	5.09999999999999960E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	5.20000000000000020E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	5.29999999999999980E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	5.40000000000000040E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	5.50000000000000000E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	5.59999999999999960E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	5.70000000000000020E1	0.00000000000000000E0 / 0.00000000000000000E0
