Y	X	point[0][0, ::]
0.00000000000000000e0	8.30000000000000070e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	8.40000000000000040e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	8.50000000000000000e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	8.59999999999999960e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	8.69999999999999930e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	8.80000000000000070e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	8.90000000000000040e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	9.00000000000000000e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	9.09999999999999960e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	9.19999999999999930e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	9.30000000000000070e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	9.40000000000000040e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	9.50000000000000000e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	9.59999999999999960e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	9.69999999999999930e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	9.80000000000000070e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	9.90000000000000040e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	1.00000000000000000e2	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	1.01000000000000000e2	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	1.02000000000000000e2	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	1.03000000000000000e2	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	1.04000000000000000e2	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	1.05000000000000000e2	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	1.06000000000000010e2	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	1.06999999999999980e2	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	1.08000000000000010e2	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	1.09000000000000010e2	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	1.10000000000000010e2	1.13406796830673470e-1 / -6.77675753151132640e1
